,iteration,speed
120,120,"[0.16       0.15999985 0.15999758 0.15999939 0.15999855 0.15999995
 0.15999985 0.15999946 0.1599992  0.15999794]"
121,121,"[0.16       0.15999986 0.15999763 0.1599994  0.15999858 0.15999995
 0.15999986 0.15999949 0.15999916 0.15999798]"
122,122,"[0.16       0.15999987 0.15999768 0.15999941 0.15999862 0.15999994
 0.15999986 0.15999951 0.15999912 0.15999802]"
123,123,"[0.16       0.15999988 0.15999773 0.15999942 0.15999865 0.15999994
 0.15999986 0.15999953 0.15999907 0.15999806]"
124,124,"[0.16       0.15999989 0.15999779 0.15999944 0.15999869 0.15999994
 0.15999987 0.15999955 0.15999903 0.1599981 ]"
125,125,"[0.16       0.1599999  0.15999785 0.15999945 0.15999872 0.15999994
 0.15999987 0.15999957 0.15999898 0.15999814]"
126,126,"[0.16       0.15999991 0.15999791 0.15999946 0.15999876 0.15999993
 0.15999987 0.15999959 0.15999894 0.15999818]"
127,127,"[0.16       0.15999992 0.15999798 0.15999947 0.15999879 0.15999993
 0.15999988 0.15999961 0.15999889 0.15999822]"
128,128,"[0.16       0.15999992 0.15999805 0.15999948 0.16000135 0.15999993
 0.15999988 0.15999963 0.15999983 0.15999826]"
129,129,"[0.16       0.15999993 0.15999811 0.15999949 0.15999738 0.15999993
 0.15999988 0.15999964 0.15999786 0.1599983 ]"
130,130,"[0.16       0.15999994 0.15999818 0.1599995  0.1599974  0.15999993
 0.15999989 0.15999966 0.15999781 0.15999834]"
131,131,"[0.16       0.15999994 0.15999825 0.15999951 0.15999743 0.15999992
 0.15999989 0.15999967 0.15999776 0.15999838]"
132,132,"[0.1600001  0.15999995 0.15999832 0.15999952 0.15999745 0.16000012
 0.15999989 0.15999969 0.15999772 0.15999841]"
133,133,"[0.15999962 0.15999995 0.1599984  0.15999953 0.15999748 0.15999997
 0.1599999  0.1599997  0.15999767 0.15999845]"
134,134,"[0.15999963 0.15999996 0.15999847 0.15999954 0.15999752 0.15999998
 0.1599999  0.15999971 0.15999763 0.15999849]"
135,135,"[0.15999964 0.15999996 0.15999854 0.15999955 0.15999755 0.15999998
 0.1599999  0.15999972 0.1599976  0.15999852]"
136,136,"[0.15999965 0.15999996 0.15999861 0.15999956 0.15999759 0.15999998
 0.1599999  0.15999974 0.15999756 0.15999856]"
137,137,"[0.15999966 0.15999997 0.15999868 0.15999957 0.15999763 0.15999999
 0.15999991 0.15999975 0.15999753 0.15999859]"
